,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
8719,花蓮縣花蓮市國福國民小學,應付代收款--其他--仁愛基金,38309.0,38309.0,38309.0,0.0,0.0,0.0,0.0,0.0,0.0
8723,花蓮縣花蓮市國福國民小學,應付代收款--其他--魏隆盛主任獎學金,11726.0,11126.0,15026.0,600.0,600.0,600.0,0.051168343851270684,0.053927736832644256,0.03993078663649674
8788,花蓮縣花蓮市復興國民小學,應付代收款-代收學生獎助學金-朱彥蓉,0.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0
8821,花蓮縣花蓮市復興國民小學,應付代收款-非政府機關委託補助-中國人壽捐助本校弱勢學獎助學金,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0
8822,花蓮縣花蓮市復興國民小學,應付代收款-非政府機關委託補助-仁愛基金,154507.0,154207.0,154207.0,2800.0,0.0,0.0,0.0181221562777091,0.0,0.0
8826,花蓮縣花蓮市復興國民小學,應付代收款-非政府機關委託補助-沈維俊先生捐助本校學生善款,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
8833,花蓮縣花蓮市復興國民小學,應付代收款-非政府機關委託補助-黎正忠先生捐助本校弱勢學生救助金,0.0,0.0,21200.0,0.0,0.0,0.0,0.0,0.0,0.0
8842,花蓮縣花蓮市忠孝國民小學,應付代收款-其他-仁愛基金,245833.0,233978.0,243934.0,12762.0,0.0,0.0,0.051913290729885736,0.0,0.0
8908,花蓮縣花蓮市忠孝國民小學,應付代收款-其他-運動會贊助款,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
8983,花蓮縣花蓮市忠孝國民小學,應付代收款-非政府機關委託補助-各界捐助活化課程增能學習經費,50217.0,45537.0,45537.0,4680.0,0.0,0.0,0.09319553139375113,0.0,0.0
8984,花蓮縣花蓮市忠孝國民小學,應付代收款-非政府機關委託補助-怡東扶輪社,25080.0,25080.0,25080.0,0.0,0.0,0.0,0.0,0.0,0.0
9001,花蓮縣花蓮市明廉國民小學,應付代收款-代收代付-指定用途-北投獅子會捐款(本金),200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
9002,花蓮縣花蓮市明廉國民小學,應付代收款-代收代付-指定用途-曾月嬌女士捐款(本金),20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
9006,花蓮縣花蓮市明廉國民小學,應付代收款-代收代付-指定用途-王可非校長捐款(本金),200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
9109,花蓮縣花蓮市明廉國民小學,應付代收款-李瑞峰-捐助本校急難救助金,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
9111,花蓮縣花蓮市明廉國民小學,應付代收款-非政府機關委託補助-北新同濟會-偏鄉小學社會服務經費,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
9115,花蓮縣花蓮市明廉國民小學,應付代收款-非政府機關委託補助-畢業典禮贊助款,94.0,94.0,6094.0,0.0,0.0,0.0,0.0,0.0,0.0
9203,花蓮縣花蓮市明恥國民小學,應付代收款-非政府機關委託補助-國家實驗研究院網路與計算中心-創意教學徵集活動,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
9210,花蓮縣花蓮市明禮國民小學,應付代收款-其他-獎學金定存,425295.0,426210.0,426706.0,0.0,0.0,0.0,0.0,0.0,0.0
9291,花蓮縣花蓮市明禮國民小學,應付代收款-非政府機關委託補助-0206地震災後校園維護及特色課程,0.0,0.0,200000.0,0.0,0.0,4120.0,0.0,0.0,0.0206
9295,花蓮縣花蓮市明禮國民小學,應付代收款-非政府機關委託補助-仁愛基金,338839.0,341699.0,320094.0,0.0,22870.0,0.0,0.0,0.06693025147864055,0.0
9317,花蓮縣花蓮市明義國民小學,應付代收款-其他-仁愛基金,789278.0,785033.0,818033.0,8000.0,17000.0,21200.0,0.010135845671613804,0.02165514061192332,0.02591582491170894
9327,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-林燦清寒學生優秀獎學金,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
9328,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-林銘光獎學金,87030.0,84830.0,82630.0,2200.0,2200.0,2200.0,0.025278639549580605,0.02593422138394436,0.02662471257412562
9329,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-王懷英獎學金,260500.0,258300.0,256100.0,2200.0,2200.0,2200.0,0.008445297504798464,0.008517228029423151,0.008590394377196407
9331,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-葛全五獎學金,36431.0,34231.0,32031.0,2200.0,2200.0,2200.0,0.06038813098734594,0.06426922964564284,0.06868346289532015
9332,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-薛竹辰獎學金,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
9334,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-進達文教基金會,80000.0,80000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0
9335,花蓮縣花蓮市明義國民小學,應付代收款-其他-各項獎助學金-黃銀花獎學金,71209.0,69009.0,66809.0,2200.0,2200.0,2200.0,0.03089497114128832,0.031879899723224504,0.03292969510095945
9339,花蓮縣花蓮市明義國民小學,應付代收款-其他-校務運用贊助款,0.0,3000.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
9348,花蓮縣花蓮市明義國民小學,應付代收款-其他-資源班贊助款,48592.0,48592.0,48592.0,0.0,0.0,0.0,0.0,0.0,0.0
9364,花蓮縣花蓮市明義國民小學,應付代收款-教育儲蓄專戶,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
9365,花蓮縣花蓮市明義國民小學,應付代收款-教育儲蓄專戶-儲蓄利息,53.0,73.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
9577,花蓮縣萬榮鄉明利國民小學,應付代收款- 非政府機關委託補助-104年班學生獎助學金,0.0,0.0,48414.0,0.0,0.0,4384.0,0.0,0.0,0.09055231957698187
9579,花蓮縣萬榮鄉明利國民小學,應付代收款- 非政府機關委託補助-106年班學生獎助學金,0.0,0.0,26285.0,0.0,0.0,420.0,0.0,0.0,0.015978695073235686
9581,花蓮縣萬榮鄉明利國民小學,應付代收款- 非政府機關委託補助-一貫道慈善功德會,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
9590,花蓮縣萬榮鄉明利國民小學,應付代收款- 非政府機關委託補助-陳淑娟女士捐贈學生活動費,22699.0,22699.0,22699.0,0.0,0.0,0.0,0.0,0.0,0.0
9646,花蓮縣萬榮鄉紅葉國民小學,應付代收款-教育儲蓄專戶-利息收入,182.0,185.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
9647,花蓮縣萬榮鄉紅葉國民小學,應付代收款-教育儲蓄專戶-統籌款,7877.0,7877.0,7877.0,0.0,0.0,0.0,0.0,0.0,0.0
9690,花蓮縣萬榮鄉萬榮國民小學, 應付代收款-非政府機關委託補助-運動會贊助金,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0
9750,花蓮縣萬榮鄉萬榮國民小學,應付代收款-非政府機關委託補助-陳林素媛獎助學金,40915.0,40915.0,40915.0,0.0,0.0,0.0,0.0,0.0,0.0
9914,花蓮縣萬榮鄉馬遠國民小學,應付代收款-教育儲蓄專戶,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,花蓮縣萬榮鄉馬遠國民小學,應付代收款-非政府機關委託補助-夜課輔餐點經費,0.0,0.0,59900.0,0.0,0.0,0.0,0.0,0.0,0.0
9952,花蓮縣萬榮鄉馬遠國民小學,應付代收款-非政府機關委託補助-推動閱讀-健峰企業管理,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
